POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Jasprit Bumrah,4,10,5,18,2.5,4.8,KKR,DY Patil Stadium,09 May 2022
2,Axar Patel,4,10,2,14,2.5,12,PBKS,Brabourne - CCI,20 April 2022
3,Harshal Patel,4,11,2,19,2.75,12,KKR,DY Patil Stadium,30 March 2022
4,Krunal Pandya,4,11,2,15,2.75,12,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
5,Sunil Narine,4,12,1,13,3,24,RCB,DY Patil Stadium,30 March 2022
6,Rahul Chahar,4,13,2,13,3.25,12,KKR,Wankhede Stadium,01 April 2022
7,Umran Malik,4,13,1,19,3.25,24,RCB,Brabourne - CCI,23 April 2022
8,Moeen Ali,4,13,3,16,3.25,8,DC,DY Patil Stadium,08 May 2022
9,Dushmantha Chameera,4,14,0,15,3.5,0,MI,Wankhede Stadium,24 April 2022
10,Murugan Ashwin,4,14,2,14,3.5,12,DC,Brabourne - CCI,27 March 2022
11,Trent Boult,4,14,1,17,3.5,24,GT,Narendra Modi Stadium,29 May 2022
12,Axar Patel,4,14,2,14,3.5,12,PBKS,DY Patil Stadium,16 May 2022
13,Varun Chakaravarthy,4,14,0,14,3.5,0,PBKS,Wankhede Stadium,01 April 2022
14,Rashid Khan,4,15,0,10,3.75,0,RR,Eden Gardens,24 May 2022
15,Yuzvendra Chahal,4,15,2,12,3.75,12,RCB,Wankhede Stadium,05 April 2022
16,Wanindu Hasaranga,4,15,2,12,3.75,12,PBKS,Brabourne - CCI,13 May 2022
17,Sunil Narine,4,15,0,10,3.75,0,CSK,Wankhede Stadium,26 March 2022
18,Umesh Yadav,4,16,2,14,4,12,RCB,DY Patil Stadium,30 March 2022
19,Mohsin Khan,4,16,4,15,4,6,DC,Wankhede Stadium,01 May 2022
20,Prasidh Krishna,4,16,2,16,4,12,SRH,Maharashtra Cricket Association Stadium,29 March 2022
21,Daniel Sams,4,16,3,18,4,8,CSK,Wankhede Stadium,12 May 2022
22,Sandeep Sharma,4,17,0,15,4.25,0,GT,DY Patil Stadium,03 May 2022
23,Dushmantha Chameera,4,17,2,17,4.25,12,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
24,Krunal Pandya,4,17,1,12,4.25,24,GT,Wankhede Stadium,28 March 2022
25,Josh Hazlewood,4,17,2,13,4.25,12,SRH,Wankhede Stadium,08 May 2022
26,Jasprit Bumrah,4,17,3,16,4.25,8,RR,DY Patil Stadium,02 April 2022
27,Ravichandran Ashwin,4,17,3,14,4.25,8,RCB,Maharashtra Cricket Association Stadium,26 April 2022
28,Hardik Pandya,4,17,3,14,4.25,8,RR,Narendra Modi Stadium,29 May 2022
29,Mohsin Khan,4,18,1,10,4.5,24,GT,Maharashtra Cricket Association Stadium,10 May 2022
30,Prashant Solanki,4,18,0,6,4.5,0,GT,Wankhede Stadium,15 May 2022
31,Wanindu Hasaranga,4,18,5,14,4.5,4.8,SRH,Wankhede Stadium,08 May 2022
32,Trent Boult,4,18,2,14,4.5,12,LSG,Brabourne - CCI,15 May 2022
33,Kuldeep Yadav,4,18,3,8,4.5,8,MI,Brabourne - CCI,27 March 2022
34,Mustafizur Rahman,4,18,3,14,4.5,8,KKR,Wankhede Stadium,28 April 2022
35,Rashid Khan,4,18,1,9,4.5,24,RR,Narendra Modi Stadium,29 May 2022
36,Sandeep Sharma,4,18,1,14,4.5,24,LSG,Maharashtra Cricket Association Stadium,29 April 2022
37,Harshal Patel,4,18,1,11,4.5,24,RR,Wankhede Stadium,05 April 2022
38,Sunil Narine,4,19,0,12,4.75,0,RR,Wankhede Stadium,02 May 2022
39,Josh Hazlewood,4,19,1,10,4.75,24,CSK,Maharashtra Cricket Association Stadium,04 May 2022
40,Mohammad Shami,4,19,2,9,4.75,12,CSK,Wankhede Stadium,15 May 2022
41,Rahul Chahar,4,19,0,14,4.75,0,DC,DY Patil Stadium,16 May 2022
42,Sunil Narine,4,19,1,13,4.75,24,DC,Wankhede Stadium,28 April 2022
43,Pradeep Sangwan,4,19,2,12,4.75,12,RCB,Brabourne - CCI,30 April 2022
44,Krunal Pandya,4,19,3,10,4.75,8,MI,Wankhede Stadium,24 April 2022
45,Josh Hazlewood,4,19,2,16,4.75,12,RR,Maharashtra Cricket Association Stadium,26 April 2022
46,Umesh Yadav,4,19,1,13,4.75,24,SRH,Maharashtra Cricket Association Stadium,14 May 2022
47,Kumar Kartikeya Singh,4,19,1,9,4.75,24,RR,DY Patil Stadium,30 April 2022
48,Mohsin Khan,4,20,3,16,5,8,KKR,DY Patil Stadium,18 May 2022
49,Mohammad Shami,4,20,2,16,5,12,KKR,DY Patil Stadium,23 April 2022
50,Wanindu Hasaranga,4,20,4,15,5,6,KKR,DY Patil Stadium,30 March 2022
51,Umesh Yadav,4,20,2,15,5,12,CSK,Wankhede Stadium,26 March 2022
52,Sai Kishore,4,20,0,7,5,0,RCB,Wankhede Stadium,19 May 2022
53,Obed McCoy,4,20,2,11,5,12,CSK,Brabourne - CCI,20 May 2022
54,Dwayne Bravo,4,20,3,11,5,8,KKR,Wankhede Stadium,26 March 2022
55,Ravindra Jadeja,4,20,0,7,5,0,RCB,Maharashtra Cricket Association Stadium,04 May 2022
56,Sunil Narine,4,20,1,12,5,24,LSG,Maharashtra Cricket Association Stadium,07 May 2022
