POS,Player,Ov,Runs,Wkts,Dots,SR,Against,Venue,Match Date
1,Harshal Patel,4,11,2,19,12,KKR,DY Patil Stadium,30 March 2022
2,Umran Malik,4,13,1,19,24,RCB,Brabourne - CCI,23 April 2022
3,Jasprit Bumrah,4,10,5,18,4.8,KKR,DY Patil Stadium,09 May 2022
4,Daniel Sams,4,16,3,18,8,CSK,Wankhede Stadium,12 May 2022
5,Trent Boult,4,14,1,17,24,GT,Narendra Modi Stadium,29 May 2022
6,Dushmantha Chameera,4,17,2,17,12,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
7,Prasidh Krishna,4,22,3,17,8,RCB,Narendra Modi Stadium,27 May 2022
8,Mukesh Choudhary,4,23,3,17,8,MI,Wankhede Stadium,12 May 2022
9,Umesh Yadav,4,24,1,17,24,RR,Wankhede Stadium,02 May 2022
10,Moeen Ali,4,13,3,16,8,DC,DY Patil Stadium,08 May 2022
11,Josh Hazlewood,4,19,2,16,12,RR,Maharashtra Cricket Association Stadium,26 April 2022
12,Mohammad Shami,4,20,2,16,12,KKR,DY Patil Stadium,23 April 2022
13,Tim Southee,4,20,3,16,8,RCB,DY Patil Stadium,30 March 2022
14,Mohsin Khan,4,20,3,16,8,KKR,DY Patil Stadium,18 May 2022
15,Simarjeet Singh,4,22,1,16,24,MI,Wankhede Stadium,12 May 2022
16,Krunal Pandya,4,11,2,15,12,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
17,Sandeep Sharma,4,17,0,15,0,GT,DY Patil Stadium,03 May 2022
18,Wanindu Hasaranga,4,20,4,15,6,KKR,DY Patil Stadium,30 March 2022
19,Kagiso Rabada,4,21,3,15,8,RCB,Brabourne - CCI,13 May 2022
20,Krishnappa Gowtham,4,23,1,15,24,DC,DY Patil Stadium,07 April 2022
21,Yuzvendra Chahal,4,23,0,15,0,RCB,Maharashtra Cricket Association Stadium,26 April 2022
22,Avesh Khan,4,24,4,15,6,SRH,DY Patil Stadium,04 April 2022
23,Varun Chakaravarthy,4,14,0,14,0,PBKS,Wankhede Stadium,01 April 2022
24,Murugan Ashwin,4,14,2,14,12,DC,Brabourne - CCI,27 March 2022
25,Axar Patel,4,14,2,14,12,PBKS,DY Patil Stadium,16 May 2022
