POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Moeen Ali,93,57,163.15,13,3,RR,Brabourne - CCI,20 May 2022
2,K L Rahul,103,62,166.12,12,4,MI,Wankhede Stadium,24 April 2022
3,Jos Buttler,89,56,158.92,12,2,GT,Eden Gardens,24 May 2022
4,David Warner,92,58,158.62,12,3,SRH,Brabourne - CCI,05 May 2022
5,Rajat Patidar,112,54,207.4,12,7,LSG,Eden Gardens,25 May 2022
6,Shubman Gill,96,59,162.71,11,1,PBKS,Brabourne - CCI,08 April 2022
7,Faf Du Plessis,96,64,150,11,2,LSG,DY Patil Stadium,19 April 2022
8,Ishan Kishan,81,48,168.75,11,2,DC,Brabourne - CCI,27 March 2022
9,Jos Buttler,100,68,147.05,11,5,MI,DY Patil Stadium,02 April 2022
10,Wriddhiman Saha,68,38,178.94,11,1,SRH,Wankhede Stadium,27 April 2022
11,Quinton De Kock,140,70,200,10,10,KKR,DY Patil Stadium,18 May 2022
12,Jos Buttler,106,60,176.66,10,6,RCB,Narendra Modi Stadium,27 May 2022
13,David Warner,60,30,200,10,1,PBKS,Brabourne - CCI,20 April 2022
14,Aaron Finch,58,28,207.14,9,2,RR,Brabourne - CCI,18 April 2022
15,Shikhar Dhawan,88,59,149.15,9,2,CSK,Wankhede Stadium,25 April 2022
16,K L Rahul,103,60,171.66,9,5,MI,Brabourne - CCI,16 April 2022
17,Prithvi Shaw,61,34,179.41,9,2,LSG,DY Patil Stadium,07 April 2022
18,Nitish Rana,42,22,190.9,9,0,LSG,DY Patil Stadium,18 May 2022
19,Quinton De Kock,61,45,135.55,9,0,CSK,Brabourne - CCI,31 March 2022
20,Quinton De Kock,80,52,153.84,9,2,DC,DY Patil Stadium,07 April 2022
21,Jos Buttler,103,61,168.85,9,5,KKR,Brabourne - CCI,18 April 2022
22,Jos Buttler,116,65,178.46,9,9,DC,Wankhede Stadium,22 April 2022
23,Rahul Tripathi,76,44,172.72,9,3,MI,Wankhede Stadium,17 May 2022
