POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Josh Hazlewood,4,64,0,0,PBKS,Brabourne - CCI,13 May 2022
2,Marco Jansen,4,63,0,0,GT,Wankhede Stadium,27 April 2022
3,Avesh Khan,4,60,0,0,KKR,DY Patil Stadium,18 May 2022
4,T Natarajan,4,60,0,0,MI,Wankhede Stadium,17 May 2022
5,Mohammed Siraj,4,59,2,12,PBKS,DY Patil Stadium,27 March 2022
6,Chris Jordan,3.5,58,0,0,GT,Maharashtra Cricket Association Stadium,17 April 2022
7,Akash Deep,4,58,0,0,CSK,DY Patil Stadium,12 April 2022
8,Daniel Sams,4,57,0,0,DC,Brabourne - CCI,27 March 2022
9,Tim Southee,4,57,0,0,LSG,DY Patil Stadium,18 May 2022
10,Tymal Mills,3,54,0,0,LSG,Brabourne - CCI,16 April 2022
11,Dushmantha Chameera,4,54,0,0,RCB,Eden Gardens,25 May 2022
12,Obed McCoy,3,52,1,18,DC,Wankhede Stadium,22 April 2022
13,Umran Malik,4,52,0,0,DC,Brabourne - CCI,05 May 2022
14,Mukesh Choudhary,4,52,1,24,PBKS,Brabourne - CCI,03 April 2022
15,Odean Smith,4,52,0,0,RCB,DY Patil Stadium,27 March 2022
16,Lockie Ferguson,4,52,0,0,SRH,Wankhede Stadium,27 April 2022
17,Pat Cummins,4,51,0,0,DC,Brabourne - CCI,10 April 2022
18,Kuldeep Sen,4,51,1,24,GT,DY Patil Stadium,14 April 2022
19,Shivam Mavi,4,50,1,24,LSG,Maharashtra Cricket Association Stadium,07 May 2022
20,Kagiso Rabada,4,50,1,24,RR,Wankhede Stadium,07 May 2022
21,Jason Holder,4,50,2,12,RR,Wankhede Stadium,10 April 2022
22,Dwaine Pretorius,4,50,0,0,PBKS,Wankhede Stadium,25 April 2022
23,Nathan Coulter-Nile,3,48,0,0,SRH,Maharashtra Cricket Association Stadium,29 March 2022
24,Jaydev Unadkat,4,48,2,12,CSK,DY Patil Stadium,21 April 2022
25,Mustafizur Rahman,4,48,0,0,RCB,Wankhede Stadium,16 April 2022
26,Umesh Yadav,4,48,1,24,DC,Brabourne - CCI,10 April 2022
27,Trent Boult,4,48,0,0,KKR,Brabourne - CCI,18 April 2022
28,Jasprit Bumrah,4,48,0,0,GT,Brabourne - CCI,06 May 2022
29,Prasidh Krishna,4,48,1,24,PBKS,Wankhede Stadium,07 May 2022
30,Hrithik Shokeen,3,47,2,9,RR,DY Patil Stadium,30 April 2022
31,Washington Sundar,3,47,0,0,RR,Maharashtra Cricket Association Stadium,29 March 2022
32,Fazalhaq Farooqi,4,47,0,0,RCB,Wankhede Stadium,08 May 2022
33,Sean Abbott,4,47,1,24,DC,Brabourne - CCI,05 May 2022
34,Harshal Patel,4,47,2,12,LSG,DY Patil Stadium,19 April 2022
