POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Quinton De Kock,140,70,200,10,10,KKR,DY Patil Stadium,18 May 2022
2,Robin Uthappa,88,50,176,4,9,RCB,DY Patil Stadium,12 April 2022
3,Jos Buttler,116,65,178.46,9,9,DC,Wankhede Stadium,22 April 2022
4,Andre Russell,70,31,225.8,2,8,PBKS,Wankhede Stadium,01 April 2022
5,Shivam Dube,95,46,206.52,5,8,RCB,DY Patil Stadium,12 April 2022
6,Mitchell Marsh,89,62,143.54,5,7,RR,DY Patil Stadium,11 May 2022
7,Faf Du Plessis,88,57,154.38,3,7,PBKS,DY Patil Stadium,27 March 2022
8,Jonny Bairstow,66,29,227.58,4,7,RCB,Brabourne - CCI,13 May 2022
9,Rajat Patidar,112,54,207.4,12,7,LSG,Eden Gardens,25 May 2022
10,Pat Cummins,56,15,373.33,4,6,MI,Maharashtra Cricket Association Stadium,06 April 2022
11,Ambati Rayudu,78,39,200,7,6,PBKS,Wankhede Stadium,25 April 2022
12,Ruturaj Gaikwad,99,57,173.68,6,6,SRH,Maharashtra Cricket Association Stadium,01 May 2022
13,David Miller,94,51,184.31,8,6,CSK,Maharashtra Cricket Association Stadium,17 April 2022
14,Nicholas Pooran,64,33,193.93,3,6,CSK,Maharashtra Cricket Association Stadium,01 May 2022
15,Nicholas Pooran,62,34,182.35,2,6,DC,Brabourne - CCI,05 May 2022
16,Andre Russell,48,25,192,1,6,GT,DY Patil Stadium,23 April 2022
17,Suryakumar Yadav,68,37,183.78,5,6,RCB,Maharashtra Cricket Association Stadium,09 April 2022
18,Jos Buttler,70,47,148.93,0,6,RCB,Wankhede Stadium,05 April 2022
19,Jos Buttler,106,60,176.66,10,6,RCB,Narendra Modi Stadium,27 May 2022
20,Rahul Tripathi,71,37,191.89,4,6,KKR,Brabourne - CCI,15 April 2022
21,Shimron Hetmyer,59,36,163.88,1,6,LSG,Wankhede Stadium,10 April 2022
22,Rovman Powell,67,35,191.42,3,6,SRH,Brabourne - CCI,05 May 2022
23,Anuj Rawat,66,47,140.42,2,6,MI,Maharashtra Cricket Association Stadium,09 April 2022
24,Dinesh Karthik,66,34,194.11,5,5,DC,Wankhede Stadium,16 April 2022
25,K L Rahul,103,60,171.66,9,5,MI,Brabourne - CCI,16 April 2022
26,K L Rahul,79,58,136.2,3,5,RCB,Eden Gardens,25 May 2022
27,K L Rahul,77,51,150.98,4,5,DC,Wankhede Stadium,01 May 2022
28,Ruturaj Gaikwad,73,48,152.08,5,5,GT,Maharashtra Cricket Association Stadium,17 April 2022
29,David Miller,68,38,178.94,3,5,RR,Eden Gardens,24 May 2022
30,Andre Russell,45,19,236.84,3,5,LSG,Maharashtra Cricket Association Stadium,07 May 2022
31,Jos Buttler,103,61,168.85,9,5,KKR,Brabourne - CCI,18 April 2022
32,Jos Buttler,100,68,147.05,11,5,MI,DY Patil Stadium,02 April 2022
33,Liam Livingstone,60,32,187.5,5,5,CSK,Brabourne - CCI,03 April 2022
34,Liam Livingstone,49,22,222.72,2,5,SRH,Wankhede Stadium,22 May 2022
35,Sanju Samson,55,27,203.7,3,5,SRH,Maharashtra Cricket Association Stadium,29 March 2022
36,David Warner,66,38,173.68,4,5,RCB,Wankhede Stadium,16 April 2022
37,Rovman Powell,36,15,240,0,5,RR,Wankhede Stadium,22 April 2022
38,Devon Conway,87,49,177.55,7,5,DC,DY Patil Stadium,08 May 2022
39,Dewald Brevis,49,25,196,4,5,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
40,Tilak Varma,61,33,184.84,3,5,RR,DY Patil Stadium,02 April 2022
41,Rohit Sharma,48,36,133.33,2,4,SRH,Wankhede Stadium,17 May 2022
42,Shreyas Iyer,85,51,166.66,7,4,RR,Brabourne - CCI,18 April 2022
43,Dinesh Karthik,30,8,375,1,4,SRH,Wankhede Stadium,08 May 2022
44,K L Rahul,103,62,166.12,12,4,MI,Wankhede Stadium,24 April 2022
45,K L Rahul,68,51,133.33,3,4,KKR,DY Patil Stadium,18 May 2022
46,Marcus Stoinis,38,17,223.52,2,4,RR,Wankhede Stadium,10 April 2022
47,Hardik Pandya,87,52,167.3,8,4,RR,DY Patil Stadium,14 April 2022
48,Shubman Gill,84,46,182.6,6,4,DC,Maharashtra Cricket Association Stadium,02 April 2022
49,Kane Williamson,57,46,123.91,2,4,GT,DY Patil Stadium,11 April 2022
50,Andre Russell,49,25,196,4,4,SRH,Brabourne - CCI,15 April 2022
51,Andre Russell,49,28,175,3,4,SRH,Maharashtra Cricket Association Stadium,14 May 2022
52,Nitish Rana,43,26,165.38,3,4,MI,DY Patil Stadium,09 May 2022
53,Nitish Rana,57,34,167.64,3,4,DC,Wankhede Stadium,28 April 2022
54,Rinku Singh,40,15,266.66,2,4,LSG,DY Patil Stadium,18 May 2022
55,Ishan Kishan,48,35,137.14,3,4,DC,Wankhede Stadium,21 May 2022
56,Suryakumar Yadav,43,30,143.33,1,4,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
57,Jos Buttler,67,52,128.84,5,4,MI,DY Patil Stadium,30 April 2022
58,Liam Livingstone,70,42,166.66,5,4,RCB,Brabourne - CCI,13 May 2022
59,Liam Livingstone,60,33,181.81,5,4,SRH,DY Patil Stadium,17 April 2022
60,Liam Livingstone,64,27,237.03,7,4,GT,Brabourne - CCI,08 April 2022
61,Riyan Parag,56,31,180.64,3,4,RCB,Maharashtra Cricket Association Stadium,26 April 2022
62,Deepak Hooda,45,26,173.07,1,4,RCB,Eden Gardens,25 May 2022
